Player Name,Nationality,Club,Position,Goals Scored,Assists,Matches Played,Fouls per Match,Yellow Cards,Red Cards,Minutes Played,Age,Height,Total Shots,Expected Goals,Shots on Target,Pass Accuracy,Free Kicks Scored,Penalties Scored,Headers Scored,Own Goals
Sophia Torres,Papua New Guinea,Martin-Cantu,Forward,12,17,38,3.75,7,2,1398,37,"5'9""",15,4.33,46,85.29,2,6,13,5
Mark Johnson,Germany,Bailey-Barber,Forward,17,5,34,0.34,11,3,852,37,"5'10""",63,18.68,47,77.64,1,4,4,3
Bradley Doyle,Gabon,Baker PLC,Forward,18,4,33,2.03,1,1,1765,26,"6'9""",36,8.88,47,66.19,4,7,0,1
Mr. Ryan Galloway,Guatemala,Donovan-Valdez,Midfielder,5,4,17,2.68,13,0,1454,38,"6'3""",27,10.0,30,87.08,3,6,5,5
Daniel Tanner,Senegal,"Bradley, Stevens and Guzman",Forward,1,15,27,3.18,4,3,511,39,"6'1""",78,12.53,43,75.38,3,2,11,0
William Alvarado,Greenland,"Whitney, Hanson and Dixon",Forward,34,11,15,2.01,15,2,1806,26,"6'0""",77,7.93,13,72.19,4,2,10,0
Deanna Wright,Honduras,Burke and Sons,Midfielder,30,15,22,1.74,4,2,2409,27,"6'9""",9,8.56,37,94.31,4,4,13,1
Katie Scott,Togo,"Henry, Murphy and Knapp",Forward,31,2,18,3.41,10,3,1453,29,"6'3""",72,9.6,43,64.79,2,5,3,3
Ashley Holloway,United Arab Emirates,Booker-Morrow,Forward,3,20,26,1.43,4,1,654,21,"5'3""",20,14.8,13,62.02,0,0,5,5
Alyssa Stokes,Korea,Owens LLC,Forward,10,9,11,1.04,6,3,846,40,"6'7""",96,17.72,12,66.41,5,3,15,3
Heather Bruce,Singapore,Mccoy-Murray,Defender,3,7,19,1.64,14,2,1362,19,"6'1""",67,17.41,0,68.82,1,6,0,4
Heather Ellis,Holy See (Vatican City State),Santiago-Mitchell,Forward,4,18,21,2.09,12,0,1496,34,"6'8""",94,1.98,49,68.36,1,3,2,5
Kevin Wilson,Saint Pierre and Miquelon,Ali-Perkins,Midfielder,5,2,17,0.61,6,2,1582,31,"5'4""",117,7.54,44,60.67,5,8,1,2
Manuel Ashley,Hong Kong,Pena and Sons,Defender,0,3,17,0.42,12,3,1417,30,"5'8""",39,13.79,1,90.97,2,4,5,3
Laura Whitehead,Vanuatu,Owens and Sons,Defender,24,5,31,2.02,1,2,1684,32,"5'2""",56,3.86,6,93.16,5,9,0,5
Daniel Moss,Cape Verde,"Mckinney, Garcia and Hall",Defender,28,7,21,1.87,5,0,310,34,"6'6""",115,12.37,23,64.68,3,9,4,4
Patrick Pierce,Cameroon,West-Simon,Forward,6,13,32,3.98,4,1,1111,30,"5'2""",90,14.54,5,82.26,0,5,5,1
Martin Brewer,Belgium,"Burnett, Stevenson and Yoder",Midfielder,29,12,33,1.85,6,2,1070,24,"5'6""",51,13.22,48,87.59,4,4,7,2
Brittany Mcdowell,Oman,"Callahan, Fox and Mayo",Midfielder,3,11,10,0.35,6,1,2329,36,"6'8""",102,10.97,32,62.73,0,1,2,1
Michael Ray,Armenia,"King, Reeves and Griffith",Midfielder,26,13,40,3.63,12,0,387,36,"6'2""",35,3.12,19,87.56,4,9,6,2
Carol Nichols,Cayman Islands,Allen Ltd,Midfielder,20,14,12,0.62,4,3,787,40,"6'1""",88,6.03,17,61.88,0,3,9,1
April Howell,Equatorial Guinea,Benjamin LLC,Defender,23,11,16,3.39,14,0,1614,28,"5'6""",86,12.79,5,83.4,5,2,6,3
Tiffany Cooper,Djibouti,"Hurst, Davis and Adams",Forward,13,8,22,3.47,6,2,1614,39,"6'8""",80,12.17,3,89.8,0,3,10,2
Michele Bowers,Namibia,George-Wright,Defender,19,5,21,2.04,9,3,1126,18,"5'4""",42,10.4,14,74.53,0,4,11,4
Nina Carter,Nigeria,Clark and Sons,Midfielder,31,18,36,0.4,12,2,1029,22,"6'9""",58,1.72,4,60.66,4,1,12,0
David Lloyd,Bouvet Island (Bouvetoya),Merritt Ltd,Defender,16,1,18,1.31,10,0,1277,30,"5'2""",59,5.93,50,69.53,2,7,0,4
Kristina Hicks,Gabon,"Smith, Mitchell and Hunter",Defender,0,18,35,3.03,11,2,1721,40,"5'9""",17,9.3,20,73.38,5,0,12,4
Kevin Hernandez,Philippines,Benitez Group,Defender,11,20,40,2.59,5,3,2693,23,"6'1""",38,13.88,17,67.85,2,6,7,3
Melissa Robinson,Hungary,Wallace-Wilkinson,Forward,12,11,14,1.65,1,2,1474,35,"6'9""",69,4.99,49,80.92,2,4,7,3
Sarah Knapp,Guadeloupe,"Ponce, Marquez and Stanley",Midfielder,31,11,29,0.88,7,2,1714,27,"6'5""",70,17.64,2,78.86,4,2,1,0
Jacqueline Bean,Saint Pierre and Miquelon,Cunningham LLC,Forward,9,17,22,1.79,15,2,2398,22,"6'8""",46,3.14,30,86.85,0,9,0,3
Tyler Robinson,Saint Martin,Mills Inc,Midfielder,21,15,25,1.29,6,0,714,40,"6'8""",75,9.01,32,92.44,4,0,15,0
Nathaniel Wood,Guadeloupe,Jenkins Inc,Defender,31,2,20,2.79,12,3,543,39,"6'2""",5,10.5,23,90.03,3,0,3,5
Samantha Lewis,Tokelau,Burns LLC,Forward,19,1,13,0.3,15,2,2800,33,"6'11""",113,15.11,46,78.9,1,7,10,4
William Franco,Seychelles,Rodriguez Inc,Defender,31,5,16,2.04,8,1,2169,26,"6'7""",69,8.98,14,63.08,0,7,1,0
James Alvarez,Mali,Griffin-Harding,Midfielder,29,17,30,0.48,6,3,1734,22,"6'5""",100,6.23,8,84.44,5,7,11,2
Ronald Hill,South Africa,Stevens-Clark,Defender,5,10,20,0.66,13,3,2854,20,"5'4""",0,0.99,39,87.13,0,9,4,3
Anne Allen,Czech Republic,Bird LLC,Forward,6,7,27,0.75,14,2,1008,29,"6'10""",116,14.3,5,77.17,0,3,6,3
Craig Conley,Saint Barthelemy,"Fisher, Fisher and Thompson",Defender,22,6,29,3.1,2,3,858,19,"6'2""",31,0.28,45,78.04,0,4,11,1
Denise Lee,Ireland,Wood Group,Defender,13,1,25,2.83,2,1,1070,23,"5'2""",99,17.92,11,93.93,4,4,8,3
Sharon Williamson,Paraguay,"Reynolds, Jones and Hamilton",Midfielder,1,2,27,2.04,1,0,1251,37,"5'0""",97,1.34,45,83.32,4,3,9,2
Kyle Anderson,Tanzania,"Taylor, Johnson and Mitchell",Defender,35,18,34,1.23,11,0,2763,23,"6'5""",76,8.42,42,63.9,1,6,6,1
Adrian Richardson,Eritrea,"Meyer, Hudson and Cervantes",Defender,38,19,21,3.8,10,1,2776,26,"5'5""",92,2.73,7,88.23,1,6,7,1
Connie Sullivan,Jersey,Contreras-Howell,Midfielder,0,2,21,1.48,2,2,1314,40,"6'9""",28,19.35,8,89.18,1,4,11,3
Mindy Martin,Chile,Nguyen LLC,Midfielder,5,8,12,0.1,4,1,354,22,"5'10""",40,14.97,48,85.09,0,1,5,4
Ryan Reynolds,Antigua and Barbuda,"Bolton, Kennedy and Morris",Midfielder,17,0,29,1.59,3,3,1394,24,"5'8""",55,15.16,32,77.61,5,5,12,1
Derek Roberts,Korea,"Smith, Gardner and Rodriguez",Defender,12,8,38,3.11,3,0,2129,35,"5'8""",49,19.57,11,72.57,3,2,2,4
Ana Woodward,Papua New Guinea,"Brown, Walters and Galvan",Midfielder,26,17,28,1.29,0,1,1260,19,"6'9""",98,13.28,29,60.75,1,2,1,2
Theresa Oconnor DDS,Palestinian Territory,Ferguson Group,Midfielder,34,5,34,1.18,7,2,903,22,"5'2""",100,6.36,25,73.72,5,8,8,0
